
kp,t_ms,sp,rpm,pwm
50.0,59,30,0.0,1500
50.0,119,30,0.0,1500
50.0,179,30,0.0,1500
50.0,239,30,0.0,1500
50.0,299,30,0.0,1500
50.0,359,30,0.0,1500
50.0,419,30,0.0,1500
50.0,479,30,0.0,1500
50.0,539,30,0.0,1500
50.0,599,30,0.0,1500
50.0,659,30,0.0,1500
50.0,719,30,0.0,1500
50.0,779,30,0.0,1500
50.0,839,30,0.0,1500
50.0,899,30,0.0,1500
50.0,959,30,0.0,1500
50.0,1019,30,0.0,1500
50.0,1079,30,0.0,1500
50.0,1139,30,0.0,1500
50.0,1199,30,0.0,1500
50.0,1259,30,0.0,1500
50.0,1319,30,0.0,1500
50.0,1379,30,0.0,1500
50.0,1439,30,0.0,1500
50.0,1499,30,0.0,1500
50.0,1559,30,0.0,1500
50.0,1619,30,0.0,1500
50.0,1679,30,0.0,1500
50.0,1739,30,0.0,1500
50.0,1799,30,0.0,1500
50.0,1859,30,0.0,1500
50.0,1919,30,0.0,1500
50.0,1979,30,0.0,1500
50.0,2039,30,0.0,1500
50.0,2099,30,0.0,1500
50.0,2159,30,0.0,1500
50.0,2219,30,0.0,1500
50.0,2279,30,0.0,1500
50.0,2339,30,0.0,1500
50.0,2399,30,0.0,1500
50.0,2459,30,0.0,1500
50.0,2519,30,0.0,1500
50.0,2579,30,0.0,1500
50.0,2639,30,0.0,1500
50.0,2699,30,0.0,1500
50.0,2759,30,0.0,1500
50.0,2819,30,0.0,1500
50.0,2879,30,0.0,1500
50.0,2939,30,0.0,1500
50.0,2999,30,0.0,1500
50.0,3059,70,29.2,2039
50.0,3119,70,29.2,2039
50.0,3179,70,26.8,2161
50.0,3239,70,26.8,2161
50.0,3299,70,24.4,2282
50.0,3359,70,24.4,2282
50.0,3419,70,24.4,2282
50.0,3479,70,24.4,2282
50.0,3539,70,24.4,2282
50.0,3599,70,24.4,2282
50.0,3659,70,21.9,2404
50.0,3719,70,24.4,2282
50.0,3779,70,24.4,2282
50.0,3839,70,24.4,2282
50.0,3899,70,24.4,2282
50.0,3959,70,21.9,2404
50.0,4019,70,24.4,2282
50.0,4079,70,24.4,2282
50.0,4139,70,24.4,2282
50.0,4199,70,24.4,2282
50.0,4259,70,21.9,2404
50.0,4319,70,24.4,2282
50.0,4379,70,24.4,2282
50.0,4439,70,24.4,2282
50.0,4499,70,21.9,2404
50.0,4559,70,24.4,2282
50.0,4619,70,24.4,2282
50.0,4679,70,24.4,2282
50.0,4739,70,21.9,2404
50.0,4799,70,24.4,2282
